Tên công việc,Mức lương,Khu vực tuyển,Cấp bậc,Số lượng tuyển,Hình thức làm việc,Yêu cầu bằng cấp,Yêu cầu kinh nghiệm,Ngành nghề,Quy mô công ty,Loại công ty
Nhân Viên Chứng Từ Xnk (Khu Vực Long Thành),14.0,Đồng Nai,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Đại học,2 năm,Xuất Nhập Khẩu/Thu mua - Kho Vận - Chuỗi cung ứng,10 - 150 người,1
Nhân Viên Thiết Kế In Ấn [Lương 10-13Tr + Thưởng Kpi],11.5,TP.HCM,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Trung cấp,1 năm,Thiết kế - Sáng tạo nghệ thuật/Thông tin - Truyền thông - Quảng cáo,10 - 150 người,1
Nhân Viên Content Marketing - Đi Làm Ngay,13.0,TP.HCM,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,1 năm,Marketing/Truyền hình - Báo chí - Biên tập/Thông tin - Truyền thông - Quảng cáo,10 - 150 người,1
HCM - Giao Hàng Xe Máy,9.5,TP.HCM,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Vận Tải - Lái xe - Giao nhận,Trên 300 người,2
Nhân Viên Xuất Nhập Khẩu - Thu Nhập Từ 12 - 16 Triệu + Thưởng,15.0,Hà Nội,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Đại học,2 năm,Xuất Nhập Khẩu/Bán hàng - Kinh doanh/Thu mua - Kho Vận - Chuỗi cung ứng,Dưới 10 người,1
Kỹ Sư Điện Nước,14.0,TP.HCM,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Không,1 năm,Xây dựng/Khoa học - Kỹ thuật/Điện - Điện tử - Điện lạnh,10 - 150 người,1
Trợ Lý Kinh Doanh Biết Tiếng Trung (助理職位描述),14.0,TP.HCM,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,1 năm,Hành chính - Thư ký/Bán hàng - Kinh doanh/Biên phiên dịch,150 - 300 người,1
Nhân Viên Thiết Kế Ngành In,10.5,TP.HCM,Chuyên viên- nhân viên,3,Toàn thời gian cố định,Cao đẳng,1 năm,Thông tin - Truyền thông - Quảng cáo/Xuất bản - In ấn/Thiết kế - Sáng tạo nghệ thuật,10 - 150 người,1
Kiến Trúc Sư,12.5,TP.HCM,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Đại học,3 năm,Xây dựng/Kiến trúc - Thiết kế nội ngoại thất/Khoa học - Kỹ thuật,10 - 150 người,1
Kỹ Sư Thiết Kế Kết Cấu,12.5,TP.HCM,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Đại học,3 năm,Xây dựng/Khoa học - Kỹ thuật,10 - 150 người,1
Kế Toán Thanh Toán,11.0,TP.HCM,Chuyên viên- nhân viên,3,Toàn thời gian cố định,Đại học,3 năm,Kế toán/Kiểm toán/Tài chính - Đầu tư - Chứng Khoán,10 - 150 người,2
Nhân Viên Hành Chính Nhân Sự (Đi Làm Ngay),9.0,Hà Nội,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Cao đẳng,1 năm,Nhân sự/Hành chính - Thư ký,150 - 300 người,2
Kỹ Sư Kinh Tế Xây Dựng,12.5,"Hà Nội, Hà Nam, Quảng Ninh, Thanh Hóa, Thái Bình, Hải Phòng",Chuyên viên- nhân viên,3,Toàn thời gian cố định,Đại học,1 năm,Xây dựng/Quản lý dự án/Kiến trúc - Thiết kế nội ngoại thất,150 - 300 người,2
Nhân Viên Nhắc Hạn Thanh Toán Qua Điện Thoại,15.0,TP.HCM,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Tài chính - Đầu tư - Chứng Khoán/Luật - Pháp Lý - Tuân thủ/Ngân hàng,Trên 300 người,1
Nhân Viên Kỹ Thuật Cơ Khí,14.5,Bình Dương,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Trung cấp,2 năm,Cơ khí - Ô tô - Tự động hóa/Khoa học - Kỹ thuật,10 - 150 người,1
Nhân Viên Truyền Thông,15.0,Bình Dương,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Đại học,1 năm,Marketing/IT Phần mềm/Truyền hình - Báo chí - Biên tập,10 - 150 người,1
Kỹ Sư Chăn Nuôi Trang Trại Gà - Làm Việc Tại NEW ZEALAND,87.5,TP.HCM,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Không,1 năm,Lao động phổ thông/Nông - Lâm - Ngư nghiệp/Chăn nuôi - Thú y,10 - 150 người,1
Long An - Nhân Viên Quản Lý Chất Lượng,10.5,Long An,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Cao đẳng,1 năm,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Quản lý tiêu chuẩn và chất lượng/Công nghệ thực phẩm - Dinh dưỡng,Trên 300 người,1
Nhân Viên Xuất Nhập Khẩu Tại Hà Nội,13.5,Hà Nội,Chuyên viên- nhân viên,3,Toàn thời gian cố định,Cao đẳng,1 năm,Xuất Nhập Khẩu/Thu mua - Kho Vận - Chuỗi cung ứng/Kế toán,10 - 150 người,2
Hà Nội - Nhân Viên Tư Vấn Tín Dụng - Kênh Trả Góp Xe Máy,10.5,Hà Nội,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Tài chính - Đầu tư - Chứng Khoán,Trên 300 người,1
Nhân Viên Sale Admin Quản Lý Học Vụ,11.5,TP.HCM,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Đại học,1 năm,Hành chính - Thư ký/Giáo dục - Đào tạo,Dưới 10 người,1
Chuyên Viên Kinh Doanh (Ngành Nội Thất Cao Cấp),16.0,TP.HCM,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Cao đẳng,3 năm,Bán hàng - Kinh doanh/Chăm sóc khách hàng/Kiến trúc - Thiết kế nội ngoại thất,10 - 150 người,1
Quản Lý Sản Xuất (Chương Mỹ - Hà Nội),21.5,Hà Nội,Quản lý cấp trung,1,Toàn thời gian cố định,Cao đẳng,2 năm,Sản xuất - Lắp ráp - Chế biến/Cơ khí - Ô tô - Tự động hóa/Quản lý tiêu chuẩn và chất lượng,150 - 300 người,2
Nam - Nhân Viên Giao Nhận Hàng (Thu Nhập 11 - 15Tr),13.0,Hà Nội,Chuyên viên- nhân viên,15,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Vận Tải - Lái xe - Giao nhận/Lao động phổ thông/An ninh - Bảo vệ,Trên 300 người,1
Nhân Viên Kết Cấu,10.0,TP.HCM,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Không,1 năm,Kiến trúc - Thiết kế nội ngoại thất/Xây dựng/Thiết kế - Sáng tạo nghệ thuật,150 - 300 người,1
Kỹ Sư Cơ Điện,14.0,Hà Nội,Chuyên viên- nhân viên,3,Toàn thời gian cố định,Cao đẳng,1 năm,Điện - Điện tử - Điện lạnh/Khoa học - Kỹ thuật/Cơ khí - Ô tô - Tự động hóa,10 - 150 người,2
Trưởng Phòng Bảo Hành Mảng Điện Tử - Tại  Quận 6 (Đi Làm Ngay),13.5,TP.HCM,Quản lý cấp trung,2,Toàn thời gian cố định,Cao đẳng,1 năm,Vận hành - Bảo trì - Bảo dưỡng/Khoa học - Kỹ thuật/Cơ khí - Ô tô - Tự động hóa,150 - 300 người,1
Nhân Viên Tạp Vụ Văn Phòng,7.5,TP.HCM,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Không,1 năm,Thực phẩm - Đồ uống/Lao động phổ thông/Khách sạn - Nhà hàng - Du lịch,Trên 300 người,1
Trợ Lý Kiểm Toán Xây Dựng,8.0,Hà Nội,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Đại học,Dưới 1 năm,Kiểm toán/Xây dựng/Thiết kế - Sáng tạo nghệ thuật,10 - 150 người,1
Nhân Viên Chứng Từ Xuất Nhập Khẩu.,10.5,Đồng Nai,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Cao đẳng,3 năm,Xuất Nhập Khẩu/Hành chính - Thư ký,10 - 150 người,1
Cán Bộ Shopdrawings - Phòng Kỹ Thuật,13.5,Hà Nội,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Đại học,2 năm,Xây dựng/Khoa học - Kỹ thuật,10 - 150 người,2
Nhân Viên Content (Mảng Mỹ Phẩm),11.0,Hà Nội,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,1 năm,Marketing/Thông tin - Truyền thông - Quảng cáo/Truyền hình - Báo chí - Biên tập,Trên 300 người,2
"Kỹ Sư Xây Dựng Giao Thông, Cầu Đường (Đi Làm Ngay)",13.0,TP.HCM,Chuyên viên- nhân viên,3,Toàn thời gian cố định,Cao đẳng,Chưa có kinh nghiệm,Xây dựng,10 - 150 người,1
Quản Lý Cửa Hàng (Quận 2 - Quận 7),10.0,TP.HCM,Quản lý nhóm- giám sát,3,Toàn thời gian cố định,Trung cấp,2 năm,Thực phẩm - Đồ uống/Bán hàng - Kinh doanh/Bán sỉ - Bán lẻ - Quản lý cửa hàng,150 - 300 người,1
Nhân Viên Kinh Doanh Đi Làm Ngay,12.5,Hà Nội,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Trung cấp,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Bán sỉ - Bán lẻ - Quản lý cửa hàng/Chăm sóc khách hàng,10 - 150 người,1
Trợ Lý Sản Xuất,11.0,Long An,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Cao đẳng,1 năm,Hóa học - Hóa sinh/Cơ khí - Ô tô - Tự động hóa/Sản xuất - Lắp ráp - Chế biến,10 - 150 người,2
Nhân Viên QA  - Biết Tiếng Anh,17.5,TP.HCM,Chuyên viên- nhân viên,3,Toàn thời gian cố định,Cao đẳng,Hơn 5 năm,Hành chính - Thư ký/Quản lý tiêu chuẩn và chất lượng/Dệt may - Da giày - Thời trang,Trên 300 người,1
 Merchandise Manager,17.5,TP.HCM,Quản lý cấp trung,2,Toàn thời gian cố định,Đại học,4 năm,Sản xuất - Lắp ráp - Chế biến/Dệt may - Da giày - Thời trang,Trên 300 người,1
Nhân Viên Phiên Dịch Tiếng Hàn,32.5,TP.HCM,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Không,Dưới 1 năm,Biên phiên dịch/Truyền hình - Báo chí - Biên tập,Dưới 10 người,1
Nhân Viên Thiết Kế,14.0,TP.HCM,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Cao đẳng,2 năm,Thiết kế - Sáng tạo nghệ thuật/Kiến trúc - Thiết kế nội ngoại thất,10 - 150 người,2
Quản Đốc Nhà Máy,17.5,Long An,Quản lý cấp trung,1,Toàn thời gian cố định,Cao đẳng,3 năm,Hóa học - Hóa sinh,10 - 150 người,2
Nhân Viên Telesales (Cho Vay Tiền Mặt) Tại Hà Nội,21.0,Hà Nội,Chuyên viên- nhân viên,30,Toàn thời gian cố định,Trung học,Dưới 1 năm,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Bán hàng - Kinh doanh/Hành chính - Thư ký,Trên 300 người,1
Nhân Viên Bảo Vệ Làm Việc Tại Quận Gò Vấp,9.0,TP.HCM,Chuyên viên- nhân viên,15,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,An ninh - Bảo vệ/Lao động phổ thông/Nghề nghiệp khác,10 - 150 người,1
Nhân Viên Kinh Doanh B2B  Ngành Chế Bến Gỗ Và Ngành Máy Hàn,15.0,TP.HCM,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Trung cấp,1 năm,Bán hàng - Kinh doanh/Chăm sóc khách hàng,Trên 300 người,1
Marketing Event & Entertainment Executive,14.0,TP.HCM,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Đại học,2 năm,Marketing/Khách sạn - Nhà hàng - Du lịch,10 - 150 người,1
Chủ Trì Dự Án - Đi Làm Ngay,15.0,Hà Nội,Quản lý nhóm- giám sát,1,Toàn thời gian cố định,Đại học,4 năm,Kiến trúc - Thiết kế nội ngoại thất/Quản lý dự án/Xây dựng,10 - 150 người,2
Nhân Viên Thiết Kế Pccc - HVAC,15.0,Bình Dương,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,3 năm,Điện - Điện tử - Điện lạnh/Kiến trúc - Thiết kế nội ngoại thất,10 - 150 người,1
[Hà Nội] Giám Sát Bán Hàng - Kênh Khách Hàng Trọng Điểm,15.5,Hà Nội,Quản lý nhóm- giám sát,1,Toàn thời gian cố định,Trung cấp,3 năm,Bán hàng - Kinh doanh/Bán sỉ - Bán lẻ - Quản lý cửa hàng/Quản lý tiêu chuẩn và chất lượng,Trên 300 người,1
[Hà Nội] Giám Sát Bán Hàng - Kênh Khách Hàng Trọng Điểm (Hợp Đồng 8 Tháng),15.5,Hà Nội,Quản lý nhóm- giám sát,1,Toàn thời gian cố định,Trung cấp,3 năm,Bán hàng - Kinh doanh/Bán sỉ - Bán lẻ - Quản lý cửa hàng/Quản lý tiêu chuẩn và chất lượng,Trên 300 người,1
[Hà Nội] Nhân Viên Bán Hàng - Kênh Khách Hàng Trọng Điểm,5.5,Hà Nội,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Trung học,1 năm,Bán hàng - Kinh doanh/Bán sỉ - Bán lẻ - Quản lý cửa hàng,Trên 300 người,1
"(Hoàng Mai, Hà Nội) Nhân Viên Kinh Doanh Chuyên Nghiệp (Thu Nhập Trên 10 Triệu / Tháng)",19.0,Hà Nội,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Cao đẳng,1 năm,Bán hàng - Kinh doanh/Chăm sóc khách hàng/Khoa học - Kỹ thuật,Dưới 10 người,1
Giám Sát Bán Hàng Thu Nhập Đến 20Tr,15.0,Hà Nội,Quản lý nhóm- giám sát,4,Toàn thời gian cố định,Trung cấp,Chưa có kinh nghiệm,Marketing/Xuất Nhập Khẩu/Bán hàng - Kinh doanh,10 - 150 người,2
Trưởng Bộ Phận Sơn,12.5,Bình Dương,Quản lý nhóm- giám sát,1,Toàn thời gian cố định,Trung cấp,2 năm,Sản xuất - Lắp ráp - Chế biến/Khoa học - Kỹ thuật/Hóa học - Hóa sinh,150 - 300 người,1
Kế Toán Tổng Hợp - Đi Làm Ngay (Quận 1),12.0,TP.HCM,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Đại học,3 năm,Kế toán/Kiểm toán/Tài chính - Đầu tư - Chứng Khoán,10 - 150 người,1
Nhân Viên Nông Trại - Làm Việc Tại CANADA,72.5,TP.HCM,Chuyên viên- nhân viên,30,Toàn thời gian cố định,Không,Chưa có kinh nghiệm,Lao động phổ thông/Nông - Lâm - Ngư nghiệp/Chăn nuôi - Thú y,10 - 150 người,1
Nữ - Kế Toán Công Nợ Phải Trả,10.5,Hà Nội,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Cao đẳng,1 năm,Kế toán/Kiểm toán/Dệt may - Da giày - Thời trang,Trên 300 người,1
Kế Toán Tổng Hợp – Biết Tiếng Trung,12.5,Bình Dương,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Cao đẳng,1 năm,Kế toán/Biên phiên dịch/Sản xuất - Lắp ráp - Chế biến,10 - 150 người,1
Nhân Viên Kinh Doanh Ô Tô (Làm Tại Bình Định),22.5,"Bình Định, Phú Yên, Gia Lai, Quảng Ngãi, Kon Tum, Đắk Lắk",Chuyên viên- nhân viên,3,Toàn thời gian cố định,Cao đẳng,1 năm,Bán hàng - Kinh doanh/Cơ khí - Ô tô - Tự động hóa/Bán sỉ - Bán lẻ - Quản lý cửa hàng,10 - 150 người,1
Kỹ Sư Môi Trường Mảng Xử Lý Nước Thải Tại Thủ Đức,11.5,TP.HCM,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Cao đẳng,1 năm,Môi trường - Xử lý chất thải/Khoa học - Kỹ thuật/Nông - Lâm - Ngư nghiệp,10 - 150 người,2
Nhân Viên Kinh Doanh Thức Ăn Chăn Nuôi,16.25,TP.HCM,Chuyên viên- nhân viên,3,Toàn thời gian cố định,Đại học,1 năm,Bán hàng - Kinh doanh/Chăm sóc khách hàng,Dưới 10 người,1
Nhân Viên Giám Sát Kinh Doanh (Hồ Chí Minh),14.5,TP.HCM,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Cao đẳng,Dưới 1 năm,Bán hàng - Kinh doanh/Bán sỉ - Bán lẻ - Quản lý cửa hàng/Chăm sóc khách hàng,10 - 150 người,1
Lái Xe Đưa Đón Cán Bộ Nhân Viên - Đi Làm Ngay,10.0,Hà Nội,Chuyên viên- nhân viên,6,Toàn thời gian cố định,Không,Dưới 1 năm,Vận Tải - Lái xe - Giao nhận/Lao động phổ thông/Khách sạn - Nhà hàng - Du lịch,150 - 300 người,1
"[Long An] Nhân Viên Bán Hàng, Kênh GT - Bánh Kẹo Kinh Đô",11.5,Long An,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Không,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Lao động phổ thông/Bán sỉ - Bán lẻ - Quản lý cửa hàng,Trên 300 người,2
Nhân Viên Kho Biết Lái Xe Nâng,9.5,Bình Dương,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Chứng chỉ,2 năm,Thu mua - Kho Vận - Chuỗi cung ứng,150 - 300 người,1
Nhân Viên Kỹ Thuật Công Trường (10-18 Triệu) - Chấp Nhận Ứng Viên Mới Ra Trường,14.0,"Hà Nội, Bắc Giang",Chuyên viên- nhân viên,5,Toàn thời gian cố định,Trung cấp,Chưa có kinh nghiệm,Vận hành - Bảo trì - Bảo dưỡng/Xây dựng/Điện - Điện tử - Điện lạnh,150 - 300 người,2
Kế Toán Trưởng Kiêm Kế Toán Kiểm Soát,20.0,TP.HCM,Quản lý cấp trung,2,Toàn thời gian cố định,Đại học,5 năm,Kế toán/Kiểm toán,Trên 300 người,2
Chuyên Viên Thu Hồi Nợ Hiện Trường (Nợ Muộn) - Hà Nội,20.0,Hà Nội,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung cấp,1 năm,Luật - Pháp Lý - Tuân thủ/Ngân hàng/Tài chính - Đầu tư - Chứng Khoán,Trên 300 người,2
Chuyên Viên Quản Lý Chất Lượng Xử Lý Nợ - Hà Nội,20.0,Hà Nội,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Cao đẳng,1 năm,Luật - Pháp Lý - Tuân thủ/Ngân hàng/Tài chính - Đầu tư - Chứng Khoán,Trên 300 người,2
Nhân Viên Làm Hồ Sơ Thầu Đi Làm Ngay (Lương 12-15 Triệu),13.5,Hà Nội,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Đại học,2 năm,Xây dựng/Điện - Điện tử - Điện lạnh/Quản lý dự án,150 - 300 người,2
Nhân Viên Kế Toán Tổng Hợp,9.0,Hà Nội,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Cao đẳng,1 năm,Kế toán/Kiểm toán/Tài chính - Đầu tư - Chứng Khoán,10 - 150 người,2
Nhân Viên Giao Hàng,11.0,TP.HCM,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Trung học,Dưới 1 năm,Vận Tải - Lái xe - Giao nhận,Dưới 10 người,1
Nhân Viên Thiết Kế Pccc (Lương 15 - 30 Triệu) - Phỏng Vấn Đi Làm Ngay,22.5,Hà Nội,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Đại học,Dưới 1 năm,Khoa học - Kỹ thuật/Điện - Điện tử - Điện lạnh/Xây dựng,10 - 150 người,1
Kế Toán Tổng Hợp - Đi Làm Ngay,12.5,Hà Nội,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,3 năm,Kế toán/Kiểm toán,Dưới 10 người,2
Kỹ Sư Vẽ Shopdrawing,14.0,Hà Nội,Chuyên viên- nhân viên,5,Toàn thời gian cố định,Cao đẳng,1 năm,Xây dựng/Kiến trúc - Thiết kế nội ngoại thất/Thiết kế - Sáng tạo nghệ thuật,150 - 300 người,1
Nhân Viên Thiết Kế Cơ Điện- Cấp Thoát Nước Trong Nhà,13.5,Bình Dương,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Đại học,2 năm,Điện - Điện tử - Điện lạnh/Khoa học - Kỹ thuật,10 - 150 người,1
QA / QC Supervisor - Tại Bình Dương (Đi Làm Ngay),20.0,Bình Dương,Quản lý nhóm- giám sát,1,Toàn thời gian cố định,Đại học,1 năm,Quản lý tiêu chuẩn và chất lượng/Quản lý dự án/Thực phẩm - Đồ uống,10 - 150 người,2
Bếp Phó Khu Vực Bánh -Tại Tân Bình,19.5,TP.HCM,Quản lý nhóm- giám sát,1,Toàn thời gian cố định,Trung học,3 năm,Khách sạn - Nhà hàng - Du lịch/Thực phẩm - Đồ uống/Công nghệ thực phẩm - Dinh dưỡng,Trên 300 người,1
"Đầu Bếp (Sơ Chế, Bếp Bánh, Bếp Nóng) - Tại Tân Bình",10.5,TP.HCM,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung học,1 năm,Khách sạn - Nhà hàng - Du lịch/Công nghệ thực phẩm - Dinh dưỡng/Thực phẩm - Đồ uống,Trên 300 người,1
Giám Đốc Kinh Doanh (Cửa Nội Thất),25.0,Hà Nội,Quản lý cấp cao,1,Toàn thời gian cố định,Đại học,3 năm,Bán hàng - Kinh doanh/Kiến trúc - Thiết kế nội ngoại thất/Marketing,10 - 150 người,2
Nhân Viên Social Media - Thu Nhập Trên 12 Triệu,13.5,TP.HCM,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Cao đẳng,1 năm,Marketing/Y tế - Chăm sóc sức khỏe/Thiết kế - Sáng tạo nghệ thuật,10 - 150 người,1
Trình Dược Viên OTC (Khu Vực Miền Nam) - Đi Làm Ngay,16.5,"Bình Dương, Bà Rịa - Vũng Tàu, Tây Ninh, Bình Phước",Chuyên viên- nhân viên,6,Toàn thời gian cố định,Trung cấp,Chưa có kinh nghiệm,Bán hàng - Kinh doanh/Y tế - Chăm sóc sức khỏe/Dược phẩm,Trên 300 người,1
Nhân Viên Điều Phối Xe Tải - Lương Up To 15 Triệu / Tháng,12.5,Hà Nội,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,1 năm,Thu mua - Kho Vận - Chuỗi cung ứng/Vận Tải - Lái xe - Giao nhận/Xuất Nhập Khẩu,Trên 300 người,1
Chỉ Huy Trưởng,25.0,Hà Nội,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Đại học,1 năm,Xây dựng/Thiết kế - Sáng tạo nghệ thuật/Khoa học - Kỹ thuật,150 - 300 người,2
Kế Toán Nội Bộ Tại Văn Phòng,10.0,Hà Nội,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Cao đẳng,1 năm,Kế toán/Hành chính - Thư ký/Xây dựng,150 - 300 người,2
Nhân Viên Thiết Kế (Design) Lương Cứng 10-15Tr,12.5,Hà Nội,Chuyên viên- nhân viên,3,Toàn thời gian cố định,Cao đẳng,Dưới 1 năm,Marketing/Thiết kế - Sáng tạo nghệ thuật/Thông tin - Truyền thông - Quảng cáo,150 - 300 người,1
Giám Đốc Chi Nhánh - Phòng Giao Dịch Kv HCM,37.0,TP.HCM,Quản lý cấp cao,1,Toàn thời gian cố định,Đại học,2 năm,Ngân hàng/Tài chính - Đầu tư - Chứng Khoán/Bán hàng - Kinh doanh,Trên 300 người,2
Kỹ Thuật Viên Sửa Chữa Ô Tô Tại Showroom (Ford Bình Phước),12.5,"Bình Phước, Bình Dương",Chuyên viên- nhân viên,10,Toàn thời gian cố định,Cao đẳng,1 năm,Vận hành - Bảo trì - Bảo dưỡng/Cơ khí - Ô tô - Tự động hóa/Khoa học - Kỹ thuật,10 - 150 người,2
Nhân Viên Kinh Doanh Thuốc BVTV Và Phân Bón,13.0,"Lâm Đồng, Ninh Thuận, Phú Yên, Sơn La, Bình Phước",Chuyên viên- nhân viên,7,Toàn thời gian cố định,Trung cấp,Chưa có kinh nghiệm,Nông - Lâm - Ngư nghiệp/Bán hàng - Kinh doanh,150 - 300 người,2
Nhân Viên Kỹ Thuật Hiện Trường (Dân Dụng / Giao Thông / Hạ Tầng),14.5,Hà Nội,Chuyên viên- nhân viên,4,Toàn thời gian cố định,Đại học,2 năm,Xây dựng/Khoa học - Kỹ thuật,10 - 150 người,2
Nhân Viên Sale Thu Nhập Trên 10 Triệu / Tháng,17.0,Hà Nội,Chuyên viên- nhân viên,3,Toàn thời gian cố định,Cao đẳng,1 năm,Bán hàng - Kinh doanh/Bán sỉ - Bán lẻ - Quản lý cửa hàng/Chăm sóc khách hàng,10 - 150 người,1
"Trình Dược Viên Tại Hà Nội, Đà Nẵng, HCM",28.5,"Hà Nội, TP.HCM, Đà Nẵng",Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung cấp,1 năm,Bán hàng - Kinh doanh/Dược phẩm/Y tế - Chăm sóc sức khỏe,10 - 150 người,1
Nhân Viên Kinh Doanh,19.0,Hà Nội,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Trung cấp,Dưới 1 năm,Bán hàng - Kinh doanh/Bất động sản/Kiến trúc - Thiết kế nội ngoại thất,10 - 150 người,2
"[Hải Phòng & Hải Dương] - Tập Sự Đại Diện Bán Hàng, Kênh GT",12.5,"Hải Phòng, Hải Dương",Chuyên viên- nhân viên,6,Toàn thời gian cố định,Trung học,Chưa có kinh nghiệm,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Bán hàng - Kinh doanh/Lao động phổ thông,Trên 300 người,2
Trưởng Nhóm QA,17.5,TP.HCM,Quản lý nhóm- giám sát,1,Toàn thời gian cố định,Trung cấp,2 năm,Quản lý tiêu chuẩn và chất lượng/Xuất bản - In ấn/Quản lý dự án,10 - 150 người,1
Employee Relationship Officer - Shinhan Bank HCM,11.5,TP.HCM,Chuyên viên- nhân viên,1,Toàn thời gian cố định,Đại học,1 năm,Nhân sự/Ngân hàng,Trên 300 người,1
Chuyên Viên Tín Dụng Shinhan Bank HCM,14.0,TP.HCM,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Cao đẳng,Dưới 1 năm,Ngân hàng/Bán hàng - Kinh doanh/Tài chính - Đầu tư - Chứng Khoán,Trên 300 người,1
Chuyên Viên Tín Dụng Shinhan Bank - Tại Hà Nội,14.0,Hà Nội,Chuyên viên- nhân viên,10,Toàn thời gian cố định,Cao đẳng,Dưới 1 năm,Ngân hàng/Bán hàng - Kinh doanh,Trên 300 người,1
Quản Lý Nhà Hàng Cao Cấp Jade Moon (Nhà Hàng Trung Hoa),20.0,Hà Nội,Quản lý cấp trung,1,Toàn thời gian cố định,Đại học,1 năm,Khách sạn - Nhà hàng - Du lịch/Bán hàng - Kinh doanh,Trên 300 người,2
Sóc Trăng - Giám Sát Bán Hàng,17.0,Sóc Trăng,Quản lý nhóm- giám sát,1,Toàn thời gian cố định,Trung cấp,1 năm,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Bán hàng - Kinh doanh,Trên 300 người,1
Kế Toán Tổng Hợp - Thuế,11.0,Hà Nội,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,3 năm,Kế toán/Kiểm toán,10 - 150 người,2
Cà Mau - Giám Sát Bán Hàng,17.0,Cà Mau,Quản lý nhóm- giám sát,1,Toàn thời gian cố định,Trung cấp,1 năm,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Bán hàng - Kinh doanh,Trên 300 người,1
"Nhân Viên Kế Toán Sản Xuất Thu Nhập Tới 12tr Tại Thanh Trì, Hà Nội",10.0,Hà Nội,Chuyên viên- nhân viên,2,Toàn thời gian cố định,Cao đẳng,1 năm,Hành chính - Thư ký/Kế toán/Thu mua - Kho Vận - Chuỗi cung ứng,10 - 150 người,2
