Liên kết,Tên công việc,Tên công ty,Mức lương,Khu vực tuyển
https://vieclam24h.vn/khach-san-nha-hang-du-lich/nhan-vien-kinh-doanh-haya-hotel-palma-resort-pq-c5p73id200285837.html,Nhân Viên Kinh Doanh (Haya Hotel / Palma Resort Pq),Công Ty Tnhh Một Thành Viên Du Lịch Phương Nguyễn,7 - 15 triệu,Hà Nội
https://vieclam24h.vn/cham-soc-khach-hang/nhan-vien-telemarketing-tu-van-lich-hen-thu-nhap-15-20-trieu-lam-tai-quan-7-c30p122id200294064.html,Nhân Viên Telemarketing - Tư Vấn Lịch Hẹn (Thu Nhập 15-20 Triệu / Làm Tại Quận 7),Công ty TNHH Khu Du Lịch Vịnh Thiên Đường (Công ty ALMA),7 - 15 triệu,TP.HCM
https://vieclam24h.vn/khach-san-nha-hang-du-lich/nhan-vien-kinh-doanh-tu-van-ban-hang-du-lich-nghi-duong-thu-nhap-toi-40m-khach-hang-co-san-ty-le-chot-cao-c5p73id200294063.html,"Nhân Viên Kinh Doanh - Tư Vấn Bán Hàng Du Lịch Nghỉ Dưỡng (Thu Nhập Tới 40M, Khách Hàng Có Sẵn - Tỷ Lệ Chốt Cao)",Công Ty TNHH Khu Du Lịch Vịnh Thiên Đường - Alma,10 - 40 triệu,Hà Nội
https://vieclam24h.vn/ke-toan/nhan-vien-ke-toan-nguon-von-thu-quy-c17p118id200293828.html,Nhân Viên Kế Toán Nguồn Vốn / Thủ Quỹ,Công Ty TNHH Yantai Moon (Việt Nam),10 - 15 triệu,Tây Ninh
https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-c13p73id200293819.html,Nhân Viên Kinh Doanh,Công Ty TNHH MTV Xuất Nhập Khẩu Trung Thái Hà Nội,12 - 30 triệu,Hà Nội
https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-10-30-trieu-c13p73id200285598.html,Nhân Viên Kinh Doanh (10 - 30 Triệu),Công Ty Cổ Phần Vitduct,10 - 30 triệu,Hà Nội
https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-thi-truong-c13p73id200285606.html,Nhân Viên Kinh Doanh Thị Trường,Công Ty Cổ Phần Đầu Tư Active Việt Nam,10 - 15 triệu,Hà Nội
https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-tu-van-va-ban-hang-tai-cua-hang-thu-nhap-tu-10tr-tro-len-data-laptop-co-san-c6p122id200287645.html,"Nhân Viên Tư Vấn Và Bán Hàng Tại Cửa Hàng (Thu Nhập Từ 10Tr Trở Lên, Data + Laptop Có Sẵn)",Công Ty TNHH Thương Mại Vinh Bảo,10 - 18 triệu,TP.HCM
https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-thiet-bi-y-te-luong-tren-20-30tr-c13p73id200293767.html,Nhân Viên Kinh Doanh Thiết Bị Y Tế - Lương Trên 20-30Tr,"Công Ty CP Tb Nha Khoa Thông Minh Việt Nam - Smartdental,. Jsc",20 - 30 triệu,"Hà Nội, TP.HCM"
https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-thang-may-luong-cung-tu-10-trieu-c13p122id200293669.html,Nhân Viên Kinh Doanh Thang Máy - Lương Cứng Từ 10 Triệu,Công Ty TNHH Kỹ Thuật Tự Động Việt Đông Hải,9 - 18 triệu,TP.HCM
https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-tai-ha-dong-di-lam-ngay-luong-15-25tr-c13p73id200286936.html,Nhân Viên Kinh Doanh Tại Hà Đông Đi Làm Ngay - Lương 15 - 25Tr,Công Ty TNHH Công Nghệ Fedi,15 - 25 triệu,Hà Nội
