Liên kết,Tên công việc,Tên công ty,Mức lương,Khu vực tuyển
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-tu-van-ban-hang-tai-showroom-c1p122id200292252.html,Nhân Viên Tư Vấn Bán Hàng Tại Showroom,Công Ty Cổ Phần Nội Thất KXI,5 - 15 triệu,TP.HCM
https://vieclam24h.vn/nhan-su/chuyen-vien-hanh-chinh-nhan-su-lam-tai-mui-ne-phan-thiet-c22p111id200291988.html,"Chuyên Viên Hành Chính Nhân Sự (Làm Tại Mũi Né, Phan Thiết)",Công Ty TNHH Gia Hòa,8 - 12 triệu,Bình Thuận
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-qa-biet-tieng-anh-c1p122id200291056.html,Nhân Viên QA  - Biết Tiếng Anh,"Công Ty TNHH Đông Nam Việt Nam (Dong Nam Co., Ltd)",15 - 20 triệu,TP.HCM
https://vieclam24h.vn/ke-toan/nhan-vien-ke-toan-noi-bo-ha-noi-c17p73id200289615.html,Nhân Viên Kế Toán Nội Bộ - Hà Nội,Công Ty TNHH Thương Mại Dược Phẩm Minh Hạnh,8 - 12 triệu,Hà Nội
https://vieclam24h.vn/hanh-chinh-thu-ky/ke-toan-san-xuat-thanh-tri-ha-noi-den-12tr-thang-c1p73id200289366.html,"Kế Toán Sản Xuất - Thanh Trì, Hà Nội - Đến 12Tr/tháng",Công Ty Cổ Phần Máy Xây Dựng Lạc Hồng,8 - 12 triệu,Hà Nội
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-tro-ly-co-kinh-nghiem-ke-toan-nu-biet-tieng-trung-binh-thanh-landmark-5-c1p122id200289330.html,Nhân Viên Trợ Lý Có Kinh Nghiệm Kế Toán (Nữ Biết Tiếng Trung) - Bình Thạnh (Landmark 5),Công Ty TNHH International Logistics Glory (Việt Nam),10 - 20 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-hanh-chinh-nhan-su-c1p73id200288365.html,Nhân Viên Hành Chính Nhân Sự,Công Ty Cổ Phần Ffc,9 - 15 triệu,Hà Nội
https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-tu-van-chot-don-tai-van-phong-di-lam-ngay-c13p122id200288088.html,Nhân Viên Tư Vấn Chốt Đơn Tại Văn Phòng - Đi Làm Ngay,Công Ty TNHH Thương Mại Và Dịch Vụ Smart Way,8 - 15 triệu,TP.HCM
https://vieclam24h.vn/ke-toan/nhan-vien-ke-toan-c17p122id200288024.html,Nhân Viên Kế Toán,Công Ty TNHH Thương Mại Đầu Tư Đại An Phát,10 - 16 triệu,TP.HCM
https://vieclam24h.vn/nhan-su/nhan-vien-hanh-chinh-nhan-su-c22p73id200287921.html,Nhân Viên Hành Chính Nhân Sự,Công Ty TNHH Quốc Tế Milwee Việt Nam,8 - 10 triệu,Hà Nội
https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-telesale-chot-data-nong-c13p73id200170405.html,Nhân Viên Telesale - Chốt Data Nóng,Công Ty Cổ Phần Kinh Doanh F88,9 - 16 triệu,Hà Nội
https://vieclam24h.vn/phan-tich-thong-ke-du-lieu/nhan-vien-nghiep-vu-tieng-nhat-n2-c33p73id200284218.html,Nhân Viên Nghiệp Vụ Tiếng Nhật N2,Công Ty Cổ Phần Relia Việt Nam,9.5 - 10.5 triệu,Hà Nội
https://vieclam24h.vn/nhan-su/chu-quan-nhan-su-tong-vu-biet-tieng-trung-c22p123id200282431.html,Chủ Quản Nhân Sự - Tổng Vụ (Biết Tiếng Trung),Công Ty TNHH Khoa Học Kỹ Thuật Kingtec Việt Nam,15 - 25 triệu,Long An
https://vieclam24h.vn/nhan-su/chuyen-vien-tuyen-dung-dao-tao-biet-tieng-anh-c22p73id200281054.html,Chuyên Viên Tuyển Dụng Đào Tạo Biết Tiếng Anh,Công Ty Cổ Phần Thương Mại Dịch Vụ Tổng Hợp Hai Bà Trưng,12 - 15 triệu,Hà Nội
https://vieclam24h.vn/ke-toan/ke-toan-tong-hop-quan-11-c17p122id200294457.html,Kế Toán Tổng Hợp -  Quận 11,Công Ty TNHH Nhà Hàng Lục Đỉnh Ký - Chi Nhánh Bình Tân,10 - 12 triệu,TP.HCM
https://vieclam24h.vn/khach-san-nha-hang-du-lich/nhan-vien-le-tan-khach-san-quan-1-nu-c5p122id200294793.html,Nhân Viên Lễ Tân Khách Sạn - Quận 1 (Nữ),Công Ty TNHH Eden Hotel Sài Gòn,9 - 10 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/director-secretary-c1p122id200293629.html,Director Secretary,Công Ty TNHH The Kaffa,12 - 20 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-nhap-lieu-c1p119id200293098.html,Nhân Viên Nhập Liệu,Gốm Sứ Minh Long - Công Ty TNHH Minh Long I,8 - 10 triệu,Bình Dương
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-ke-toan-khong-yeu-cau-kinh-nghiem-c1p73id200290016.html,Nhân Viên Kế Toán Không Yêu Cầu Kinh Nghiệm,Công Ty TNHH Vật Tư Y Tế An Thịnh,6 - 9 triệu,Hà Nội
https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-c13p122id200288490.html,Nhân Viên Kinh Doanh,Công Ty TNHH Dầu Khí Tân Việt Sơn,10 - 30 triệu,TP.HCM
https://vieclam24h.vn/luat-phap-ly-tuan-thu/nam-nhan-vien-phap-ly-c25p122id200293040.html,Nam Nhân Viên Pháp Lý,Công Ty Trách Nhiệm Hữu Hạn Đầu Tư Sản Xuất An Trần,8 - 12 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-bien-phien-dich-tieng-trung-c1p122id200294942.html,Nhân Viên Biên Phiên Dịch Tiếng Trung,Công Ty CP Xd Phước Thành,15 - 18 triệu,TP.HCM
https://vieclam24h.vn/cham-soc-khach-hang/nhan-vien-tu-van-tai-chinh-luong-tren-13tr-thang-c30p122id200290245.html,Nhân Viên Tư Vấn Tài Chính - Lương Trên 13Tr / Tháng,Công Ty Tài Chính TNHH Ngân Hàng Việt Nam Thịnh Vượng SMBC (Fecredit),13 - 30 triệu,TP.HCM
